PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,FirstName,LastName,CabinSector,CabinRoom,CabinClass
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0,Maham,Ofracculy,B,0,P
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,1,Juanna,Vines,F,0,S
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0,Altark,Susent,A,0,S
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0,Solam,Susent,A,0,S
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,1,Willy,Santantines,F,1,S
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,1,Sandie,Hinetthews,F,0,P
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,1,Billex,Jacostaffey,F,2,S
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,-220.8616101111474,Candra Jacostaffey,1,Candra,Jacostaffey,G,0,S
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,1,Andona,Beston,F,3,S
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,1,Erraiam,Flatic,B,1,P
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,164.97937389418075,0.0,0.0,Altardr Flatic,1,Altardr,Flatic,B,1,P
0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,1,Wezena,Flatic,B,1,P
0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,1,Berers,Barne,F,1,P
0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,0,Reney,Baketton,G,1,S
0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,1,Elle,Bertsontry,F,2,P
0012_01,Earth,False,*MISSING*,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,Justie Pooles,0,Justie,Pooles,*MISSING*,*MISSING*,*MISSING*
0014_01,Mars,False,F/3/P,55 Cancri e,27.0,False,1286.0,122.0,218.3944864014798,0.0,0.0,Flats Eccle,0,Flats,Eccle,F,3,P
0015_01,Earth,False,F/4/P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,0,Carry,Hughriend,F,4,P
0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,1,Alus,Upead,F,5,P
0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,1,Lyde,Brighttt,G,0,P
0017_02,Earth,False,F/6/P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,0,Philda,Brighttt,F,6,P
0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,0,Almary,Brantuarez,E,0,S
0020_02,Earth,True,E/0/S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,0,Glendy,Brantuarez,E,0,S
0020_03,Earth,True,E/0/S,55 Cancri e,29.0,False,0.0,0.0,164.9628868252635,0.0,0.0,Mollen Mcfaddennon,0,Mollen,Mcfaddennon,E,0,S
0020_04,Earth,False,E/0/S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,1,Breney,Jacostanley,E,0,S
0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,False,-250.38933494787256,0.0,0.0,0.0,0.0,Mael Brantuarez,0,Mael,Brantuarez,E,0,S
0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,0,Terta,Mcfaddennon,E,0,S
0022_01,Mars,False,D/0/P,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,*MISSING*,0,*MISSING*,*MISSING*,D,0,P
0024_01,Europa,True,C/2/S,TRAPPIST-1e,62.0,False,0.0,0.0,165.06938496356102,0.0,0.0,Penton Fullided,1,Penton,Fullided,C,2,S
0025_01,Earth,False,F/6/S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,0,Karard,Brookenson,F,6,S
0026_01,Europa,False,C/0/P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,0,Anyoni,Unconary,C,0,P
0028_01,Mars,False,F/8/P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,0,Ceros,Mare,F,8,P
0030_01,Earth,False,G/4/S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,0,Ginia,Morsentley,G,4,S
0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,1,Coobix,Datie,F,9,P
